player,gir_pct,driving_accuracy,scoring_avg,birdie_rate_per_hole
Maverick McNealy,0.6729999999999999,0.5896499999999999,69.715,0.21814166666666668
Wyndham Clark,0.6603500000000001,0.55335,69.86999999999999,0.23151666666666665
Kevin Dougherty,0.688,0.562,70.7,0.20083333333333334
Webb Simpson,0.624375,0.6013749999999999,70.875,0.19390972222222222
Kevin Yu,0.71185,0.6213,69.515,0.23275555555555552
Erik Barnes,0.616,0.537,71.7,0.19733333333333333
Kevin Chappell,0.6822499999999999,0.579625,70.3125,0.20744444444444443
Ricky Castillo,0.695,0.606,69.7,0.22155555555555553
Harris English,0.66185,0.62745,69.98,0.20001111111111108
Paul Peterson,0.674,0.731,70.0,0.2205
Patrick Rodgers,0.6700999999999999,0.5889,69.80499999999999,0.22269444444444442
Jackson Suber,0.684,0.573,70.1,0.2215
Brandon Wu,0.680375,0.6184999999999999,70.1125,0.2164861111111111
Garrick Higgo,0.6997000000000001,0.5772999999999999,69.47500000000001,0.2518111111111111
C.T. Pan,0.688125,0.6327499999999999,69.7625,0.20705555555555552
Taylor Dickson,0.636,0.615,71.4,0.18572222222222223
MJ Daffue,0.67,0.585,70.5,0.22383333333333336
Chandler Phillips,0.6511764705882354,0.6221176470588234,70.03529411764706,0.21481045751633987
Will Chandler,0.634,0.61,71.6,0.19038888888888889
Isaiah Salinda,0.6890000000000001,0.621,70.4,0.22905555555555554
Matthieu Pavon,0.6557647058823529,0.6291764705882352,71.20588235294117,0.19416666666666668
Tom Hoge,0.64775,0.60355,70.475,0.21685277777777778
Chris Kirk,0.67255,0.62305,70.11999999999999,0.21502222222222223
Nick Watney,0.635,0.485,72.0,0.18055555555555555
Sungjae Im,0.6381,0.6615000000000001,69.965,0.2248638888888889
Tommy Fleetwood,0.6599499999999999,0.6581,69.525,0.22110277777777776
Adam Svensson,0.6876,0.65595,70.125,0.20171666666666663
Christiaan Bezuidenhout,0.6519,0.6339999999999999,70.05,0.19931944444444444
Scott Stallings,0.659,0.564,70.9,0.1885
Zach Johnson,0.6799999999999999,0.6798,70.27,0.20326944444444445
Adam Long,0.6629999999999999,0.6729999999999999,70.4,0.205
Alejandro Tosti,0.6467647058823529,0.5515882352941176,70.40588235294118,0.21310457516339867
Max Greyserman,0.6631176470588235,0.5677058823529411,69.94705882352942,0.23418954248366014
Nate Lashley,0.68335,0.61915,70.005,0.19876666666666667
Michael Thorbjornsen,0.736,0.642,69.2,0.2416111111111111
Chris Gotterup,0.6953529411764706,0.5387647058823529,69.53529411764706,0.2228169934640523
Jonathan Byrd,0.652,0.613,70.8,0.1907222222222222
Quade Cummins,0.662,0.578,70.2,0.21044444444444446
Kramer Hickok,0.6859999999999999,0.634,70.4,0.1918888888888889
Michael Gligic,0.642,0.526,71.8,0.17277777777777778
Matt Fitzpatrick,0.65885,0.6106999999999999,70.16,0.21019166666666667
Matt Kuchar,0.66565,0.6562,69.835,0.21417499999999998
Wesley Bryan,0.6796249999999999,0.5812499999999999,70.04999999999998,0.23186111111111107
Matt NeSmith,0.7018749999999999,0.6329999999999999,70.4875,0.19255555555555554
Jesper Svensson,0.677,0.5670000000000001,69.6,0.23905555555555555
Rafael Campos,0.6448823529411766,0.5710588235294117,71.34705882352942,0.20344771241830067
Ludvig Åberg,0.6774,0.6112500000000001,69.595,0.23607777777777778
Scott Piercy,0.652,0.603,70.2,0.22166666666666668
William McGirt,0.6579999999999999,0.657,70.6,0.1981111111111111
Robby Shelton,0.65,0.5953749999999999,70.29999999999998,0.21554166666666666
Paul Haley II,0.648,0.6579999999999999,71.2,0.1902222222222222
Brice Garnett,0.7041,0.68955,69.95,0.20425277777777776
Kurt Kitayama,0.67375,0.5722999999999999,69.56,0.2267694444444444
Harry Higgs,0.6509999999999999,0.5814,70.82,0.21276666666666666
Jeremy Paul,0.691,0.5760000000000001,69.8,0.21472222222222223
Austin Eckroat,0.6780499999999999,0.6628,70.275,0.21513333333333332
Adam Schenk,0.65515,0.5711999999999999,70.4,0.21084999999999998
Nicolai Højgaard,0.6884117647058824,0.535235294117647,70.0,0.22747385620915034
Nick Taylor,0.6738,0.6416,69.985,0.20980833333333332
Roger Sloan,0.6729999999999999,0.642,70.3,0.21177777777777776
Collin Morikawa,0.6847000000000001,0.70145,69.645,0.22915555555555556
Taylor Moore,0.67015,0.5855999999999999,70.095,0.21461388888888888
Nick Hardy,0.7035,0.5842499999999999,70.315,0.2107972222222222
Greyson Sigg,0.7044999999999999,0.6475,69.86,0.20194722222222222
Augusto Núñez,0.685,0.564,70.8,0.19477777777777777
Davis Riley,0.63835,0.56045,70.595,0.21502500000000002
Chan Kim,0.6858235294117648,0.6198823529411764,69.86470588235294,0.21991503267973855
Noah Goodwin,0.68,0.6679999999999999,70.1,0.21594444444444444
Jacob Bridgeman,0.6614117647058824,0.6027647058823529,69.7235294117647,0.22919934640522877
Rickie Fowler,0.65645,0.62145,69.96499999999999,0.21996388888888888
Ryan Moore,0.69025,0.702875,70.175,0.20526388888888886
K.H. Lee,0.680375,0.6191249999999999,69.875,0.2111388888888889
Brandon Matthews,0.644,0.474,72.2,0.19211111111111112
Matt Wallace,0.67685,0.5796499999999999,69.88499999999999,0.21033888888888888
Blaine Hale Jr.,0.653,0.535,71.4,0.20305555555555554
Joseph Bramlett,0.6947999999999999,0.5535,69.975,0.22285277777777773
Trace Crowe,0.665,0.6,70.0,0.24022222222222223
Justin Thomas,0.65435,0.5420999999999999,69.78,0.24039166666666664
Patrick Fishburn,0.7236470588235294,0.5959411764705882,69.65294117647059,0.21907843137254904
Chris Stroud,0.687,0.603,70.5,0.1958888888888889
Kevin Tway,0.694,0.586625,69.8625,0.20154861111111108
Akshay Bhatia,0.6759000000000001,0.6226,69.84,0.23246944444444445
Aaron Rai,0.7063999999999999,0.72645,69.795,0.21413333333333331
Justin Lower,0.6770999999999999,0.6275999999999999,70.24499999999999,0.218975
Nico Echavarria,0.677,0.6398,69.875,0.2238388888888889
Jake Knapp,0.6695294117647058,0.5577647058823529,69.88235294117646,0.23601960784313725
Ryo Hisatsune,0.6969411764705883,0.6248235294117648,69.98235294117647,0.20726797385620915
Zac Blair,0.6739,0.6792499999999999,70.02000000000001,0.21659444444444445
Sami Välimäki,0.6785294117647059,0.6166470588235294,69.90588235294118,0.22375816993464054
Martin Laird,0.6947500000000001,0.627375,70.15,0.21585416666666668
Takumi Kanaya,0.6629999999999999,0.741,69.7,0.20850000000000005
Rory McIlroy,0.6723,0.5378999999999999,69.22,0.23296944444444445
